9673.147,6848.189,6150.189,5979.885,5871.564,5834.136,5804.287,5726.703,5673.236,5633.226,5563.988,5566.147,5534.201,5540.333,5513.646,5507.942,5483.871,5440.361,5454.601,5397.935
0.596,0.628,0.633,0.637,0.645,0.656,0.652,0.661,0.673,0.681,0.678,0.677,0.692,0.689,0.677,0.693,0.681,0.688,0.686,0.682
20940.927,14490.688,13082.179,12516.157,12009.173,11646.136,11369.148,11067.548,10823.39,10600.626,10398.476,10172.682,10122.566,9942.589,9736.655,9629.337,9613.565,9493.285,9331.482,9307.111
0.514,0.561,0.596,0.608,0.624,0.642,0.645,0.64,0.647,0.665,0.638,0.643,0.642,0.64,0.639,0.631,0.647,0.628,0.639,0.639
28842.28,24059.925,23252.477,22698.042,22306.303,22179.515,21916.748,21730.528,21682.02,21406.913,21281.79,21112.622,21075.054,21009.935,20884.67,20900.267,20804.634,20682.002,20536.963,20628.671
0.499,0.551,0.585,0.592,0.609,0.608,0.607,0.624,0.631,0.645,0.644,0.65,0.643,0.632,0.643,0.646,0.634,0.639,0.636,0.653
34903.298,29762.56,28728.722,28429.219,27975.642,28040.209,27842.157,28121.776,28023.618,27736.08,27787.0,27616.629,27393.832,27675.304,27697.501,27536.756,27468.771,27198.219,27465.128,27479.38
0.485,0.479,0.442,0.469,0.473,0.481,0.482,0.484,0.47,0.478,0.469,0.498,0.481,0.482,0.455,0.488,0.495,0.484,0.49,0.502
51506.72,46962.239,46193.041,46302.59,45756.605,45911.91,45612.331,45575.486,45515.479,45403.683,45284.023,45350.324,45049.68,45328.076,45167.053,45066.276,45150.114,44939.471,44903.994,44818.623
0.433,0.458,0.472,0.473,0.483,0.487,0.484,0.492,0.512,0.482,0.482,0.486,0.487,0.506,0.497,0.503,0.514,0.481,0.507,0.509
