9010.621,6375.664,5914.368,5723.821,5669.847,5591.478,5532.337,5543.536,5500.6,5439.496,5416.906,5405.191,5375.188,5350.051,5345.711,5286.796,5329.599,5302.875,5282.045,5258.089
0.294,0.271,0.264,0.265,0.267,0.271,0.276,0.288,0.279,0.287,0.275,0.287,0.277,0.284,0.284,0.278,0.282,0.289,0.282,0.293
10287.091,6727.385,6071.685,5851.015,5729.229,5703.45,5613.227,5580.792,5554.916,5513.742,5451.174,5423.804,5393.766,5356.56,5351.277,5294.187,5325.915,5283.5,5251.129,5278.706
0.442,0.439,0.432,0.418,0.408,0.412,0.406,0.39,0.383,0.395,0.391,0.387,0.395,0.392,0.388,0.396,0.395,0.395,0.402,0.392
9354.332,6706.338,6192.89,6020.02,5948.962,5937.176,5809.701,5778.164,5763.173,5705.54,5637.122,5659.769,5613.809,5577.096,5586.901,5504.281,5510.959,5471.279,5457.025,5436.048
0.348,0.32,0.304,0.299,0.302,0.301,0.301,0.305,0.306,0.309,0.313,0.309,0.324,0.32,0.321,0.328,0.32,0.326,0.319,0.33
9673.147,6848.189,6150.189,5979.885,5871.564,5834.136,5804.287,5726.703,5673.236,5633.226,5563.988,5566.147,5534.201,5540.333,5513.646,5507.942,5483.871,5440.361,5454.601,5397.935
0.596,0.628,0.633,0.637,0.645,0.656,0.652,0.661,0.673,0.681,0.678,0.677,0.692,0.689,0.677,0.693,0.681,0.688,0.686,0.682
8900.052,6208.302,5791.032,5681.775,5631.777,5539.122,5527.169,5460.973,5466.08,5469.228,5412.722,5423.067,5362.24,5358.877,5337.833,5346.807,5313.713,5278.921,5282.803,5263.049
0.27,0.234,0.225,0.22,0.216,0.222,0.223,0.224,0.218,0.223,0.216,0.227,0.221,0.216,0.212,0.219,0.22,0.222,0.222,0.22
9114.801,6298.054,5887.766,5791.512,5675.816,5618.58,5617.76,5546.131,5544.333,5486.765,5503.915,5429.072,5430.385,5437.959,5389.335,5383.589,5342.54,5306.805,5323.497,5273.458
0.263,0.245,0.232,0.23,0.229,0.224,0.231,0.23,0.229,0.22,0.221,0.219,0.223,0.22,0.219,0.22,0.22,0.226,0.223,0.217
