2021-05-16 15:39:29,605 - classify.py[line:65] - INFO: Namespace(batch_size=64, dataset='Subj', epoch=80, gpu=1, lr=0.001, modelname='TextRNN', modelnum=0, seed=1, use_aug=1)
2021-05-16 15:39:37,473 - classify.py[line:102] - INFO: {'word_embedding_dimension': 300, 'Epoch1': 12, 'Epoch2': 10, 'dropout': 0.1, 'label_num': 2, 'learning_rate1': 0.001, 'learning_rate2': 1e-05, 'batch_size': 64, 'cuda': True, 'negSampleNum': 4, 'max_bound': 0.5, 'kernel_sizes': [3, 4, 5], 'hidden_size': 256, 'hidden_layers': 1, 'bidirectional': True}
2021-05-16 15:39:37,931 - classify.py[line:120] - INFO: before training: 0.9111389517784119
2021-05-16 15:39:37,931 - classify.py[line:131] - INFO: ...start training...
2021-05-16 15:39:40,666 - classify.py[line:157] - INFO: Epoch 0, toal_loss 88.8991, aver loss 0.7112, test accuracy 0.7509
2021-05-16 15:39:43,484 - classify.py[line:157] - INFO: Epoch 1, toal_loss 86.2286, aver loss 0.3449, test accuracy 0.7484
2021-05-16 15:39:46,135 - classify.py[line:157] - INFO: Epoch 2, toal_loss 85.4039, aver loss 0.2277, test accuracy 0.7046
2021-05-16 15:39:49,527 - classify.py[line:157] - INFO: Epoch 3, toal_loss 84.1164, aver loss 0.1682, test accuracy 0.6483
2021-05-16 15:39:52,556 - classify.py[line:157] - INFO: Epoch 4, toal_loss 81.2388, aver loss 0.1300, test accuracy 0.5870
2021-05-16 15:39:55,412 - classify.py[line:157] - INFO: Epoch 5, toal_loss 75.3931, aver loss 0.1005, test accuracy 0.6045
2021-05-16 15:39:58,187 - classify.py[line:157] - INFO: Epoch 6, toal_loss 64.5125, aver loss 0.0737, test accuracy 0.6308
2021-05-16 15:40:00,949 - classify.py[line:157] - INFO: Epoch 7, toal_loss 48.4235, aver loss 0.0484, test accuracy 0.5557
2021-05-16 15:40:03,600 - classify.py[line:157] - INFO: Epoch 8, toal_loss 34.4069, aver loss 0.0306, test accuracy 0.6233
2021-05-16 15:40:06,334 - classify.py[line:157] - INFO: Epoch 9, toal_loss 25.3383, aver loss 0.0203, test accuracy 0.6120
2021-05-16 15:40:09,060 - classify.py[line:157] - INFO: Epoch 10, toal_loss 21.3802, aver loss 0.0155, test accuracy 0.5369
